by,AndrewDucker
descendants,0
id,30198603
score,2
time,1643921339
title,Have we got the science of obesity back to front?
type,story
url,https://www.newscientist.com/article/mg25333682-800-have-we-got-the-science-of-obesity-back-to-front/
by,InvOfSmallC
descendants,1
id,30198596
kids,[30198939]
score,1
text,"Hello HN,
I’ve been noticing I received at least 2 or 3 email that should have been marked as spam every day. 
The weirdest thing is that the same exact template, with a different sender but still same domain, are able to go through the spam filter. 
This has been happening for the last 2 months. It seems like the gmail spam filter stopped working. Has this been happening to you as well?"
time,1643921311
title,Ask HN: Did you notice a degrade in the spam detection on Gmail?
type,story
by,feross
descendants,0
id,30198579
score,2
time,1643921227
title,Interview in L’actualité (French)
type,story
url,https://rootsofprogress.org/interview-in-lactualite-french
by,jonasdoesthings
descendants,1
id,30198558
kids,[30200064]
score,6
text,"A lot of users on twitter[1], myself included, just received a payment by DigitalOcean out of the blue. Turns out they apparently refunded the unused funds of inactive users.<p>[1]: https:&#x2F;&#x2F;twitter.com&#x2F;search?q=digitalocean%20paypal&amp;src=typed_query&amp;f=live"
time,1643921146
title,DigitalOcean just refunded unused funds back to inactive users' PayPal accounts
type,story
by,gmays
descendants,0
id,30198548
score,4
time,1643921100
title,Imminent merger of giant black holes predicted
type,story
url,https://www.science.org/content/article/crash-titans-imminent-merger-giant-black-holes-predicted
by,arunbahl
descendants,0
id,30198547
score,5
time,1643921094
title,Body Odor May Have Smelled Much Worse to Your Ancient Ancestors
type,story
url,https://www.nytimes.com/2022/02/03/science/nose-odors-evolution.html
by,jaredwiener
descendants,0
id,30198540
score,1
time,1643921059
title,"Who Still Buys Wite-Out, and Why? (2019)"
type,story
url,https://www.theatlantic.com/technology/archive/2019/03/who-still-buys-wite-out-and-why/567311/
by,blueatlas
descendants,0
id,30198521
score,3
time,1643920961
title,Inside America's Legendary Audio Gear Factory
type,story
url,https://www.popsci.com/story/technology/mcintosh-amp-factory-photos/
by,fallat
descendants,0
id,30198514
score,2
time,1643920921
title,"Show HN: Measure code by Kolmogrov complexity, not lines"
type,story
url,https://github.com/lf94/kolmogorov.sh
by,aml183
descendants,0
id,30198502
score,2
time,1643920854
title,20 Years Building JWST – A Conversation with NASA’s Paul Geithner
type,story
url,https://payloadspace.com/20-years-building-jwst-a-conversation-with-paul-geithner/
by,paulpauper
descendants,0
id,30198471
score,1
time,1643920707
title,Antitrust Should Be Used to Fight Inflation
type,story
url,https://prospect.org/economy/antitrust-should-be-used-to-fight-inflation/
by,paulpauper
descendants,0
id,30198455
kids,[30198503]
score,3
time,1643920667
title,GDP Surged but Americans Are Struggling with Inflation-Most Say It Will Be Worse
type,story
url,https://www.forbes.com/sites/sergeiklebnikov/2022/01/27/gdp-surged-but-americans-are-struggling-with-inflation-record-79-say-it-will-get-worse/
by,paulpauper
descendants,0
id,30198440
score,6
time,1643920591
title,Little of the Paycheck Protection Program’s $800B Protected Paychecks
type,story
url,https://www.nytimes.com/2022/02/01/business/paycheck-protection-program-costs.html
by,johncena33
